FID	site_id	point	comments	x_coord	y_coord
0	bro-sim-1-mos-3	END	corrected to dgps accuracy	428242.7758	8767593.968
1	bro-sim-1-mos-3	START	corrected to dgps accuracy	428248.851	8767623.973
2	bro-stu-1-dry-1	END	corrected to dgps accuracy	429022.2596	8767580.822
3	bro-stu-1-dry-1	START	corrected to dgps accuracy	429031.905	8767608.773
4	adv-han-1-dry-2	START	handheld gps accuracy	514253.9445	8690063.254
5	adv-han-1-mos-2	END	handheld gps accuracy	514294.7111	8690115.479
6	adv-han-1-mos-2	START	handheld gps accuracy	514301.7257	8690146.136
7	adv-han-1-dis-2	END	handheld gps accuracy	514331.3393	8690139.201
8	adv-han-1-dis-2	START	handheld gps accuracy	514334.6214	8690169.036
9	adv-han-1-mos-1	END	handheld gps accuracy	514593.0315	8690193.618
10	adv-han-1-dry-1	END	handheld gps accuracy	514664.5809	8690076.212
11	adv-han-1-dry-1	START	handheld gps accuracy	514665.6367	8690105.801
12	adv-han-1-dis-1	END	handheld gps accuracy	514715.3583	8690185.036
13	adv-han-1-dis-1	START	handheld gps accuracy	514715.6059	8690215.843
14	adv-end-2-dry-1	END	corrected to dgps accuracy	517684.747	8680426.118
15	adv-end-2-dry-1	START	corrected to dgps accuracy	517706.917	8680445.658
16	adv-end-2-mos-1	END	corrected to dgps accuracy	517881.086	8680562.977
17	adv-end-2-mos-1	START	corrected to dgps accuracy	517898.366	8680587.293
18	adv-end-2-dis-1	END	corrected to dgps accuracy	517944.593	8680640.724
19	adv-end-2-dis-1	START	corrected to dgps accuracy	517960.037	8680666.311
20	adv-end-1-dry-2	END	handheld gps accuracy	518582	8679417
21	adv-end-1-dry-2	START	handheld gps accuracy	518595	8679441
22	adv-end-1-mos-1	END	corrected to dgps accuracy	518633.2496	8679619.191
23	adv-end-1-mos-1	START	corrected to dgps accuracy	518643.7638	8679647.266
24	adv-end-1-dry-1	END	corrected to dgps accuracy	518656.9818	8679390.609
25	adv-end-1-dry-1	START	corrected to dgps accuracy	518671.7416	8679415.1
26	adv-end-1-dis-1	START	corrected to dgps accuracy	518740.994	8679711.393
27	adv-end-1-dis-1	END	corrected to dgps accuracy	518741.5053	8679681.475
28	adv-end-1-mos-2	END	handheld gps accuracy	518992	8679929
29	adv-end-1-mos-2	START	handheld gps accuracy	519004	8679958
30	adv-end-1-dis-2	END	handheld gps accuracy	519063.5	8679885.7
31	adv-end-1-dis-2	START	handheld gps accuracy	519092.5518	8679879.996
32	adv-jan-2-dry-1	END	corrected to dgps accuracy	529738.241	8677865.949
